product_itemid,product_shopid,product_category,product_name,product_price,product_price_min,product_price_max,product_discount,product_brand,product_like_count,product_comment_count,product_views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_variation_count
9400747359,229854328,Short Sleeves,UNIQ.MNL High Quality Low Price Callie Basic Cotton Longback Top 2040,150,89,89,41,No Brand,809,1348,7844,1273,44,17,6,8,1348,4.91,577,3727,1,"Taytay, Rizal",0,0,0,0,0,0,0,11
3975163837,369909059,Short Sleeves,Short-sleeved T-shirt Women's Summer New All-match Korean Sexy Open Back Letter Printing Loose Top,,234,234,0,No Brand,142,17,538,17,0,0,0,0,17,5.0,5962,31,1,Mainland China,0,0,0,0,0,0,0,2
6017873774,1083822,Short Sleeves,NKD Korean Fashion Toni Tie Basic Blouse 1059,150,55,55,63,No Brand,4183,10247,22292,9647,316,175,43,66,10247,4.9,95113,44253,1,"Taytay, Rizal",0,0,1,0,0,0,0,19
4043516018,141606030,Short Sleeves,35903 Korean Chic Retro Pullover Short Sleeve Knitwear T Shirt Tops,784,526,526,33,No Brand,2168,23,13634,21,0,2,0,0,23,4.83,9767,42,1,Mainland China,0,0,0,0,0,0,0,1
3996477111,36754442,Short Sleeves,Kathryn Trendy Cotton Kint Blouse #11234,199,50,59,75,No Brand,29,3,2008,2,1,0,0,0,3,4.67,4543,5,1,"Taytay, Rizal",0,0,0,0,0,0,0,11
6356385195,312874722,Short Sleeves,Korean loose T-shirt is the new trend of summer women Sweethearts outfit,169,69,79,59,No Brand,10241,7499,59092,6190,546,436,134,193,7499,4.65,494922,36898,1,"San Nicolas, Metro Manila",0,0,1,0,0,0,0,50
11306791340,360379308,Short Sleeves,Puff Sleeve Chiffon Square Collar Slim fit Short Sleeve Top Cute Tops,528,269,269,49,No Brand,7037,845,126462,766,42,28,2,7,845,4.84,3101,1941,1,Mainland China,0,0,1,0,0,0,0,4
7356348155,36637203,Short Sleeves,Korean fashion women summer cartoon short sleeves T-shirts oversized shirt,79,79,79,56,No Brand,16995,15386,52341,12851,1099,796,260,380,15386,4.68,351471,72159,1,"San Nicolas, Metro Manila",0,0,1,0,0,0,0,50
4289697795,360379308,Short Sleeves,Chiffon Korean-Style Square Collar Slim Sweet Floral Short Sleeve Top,480,255,255,47,No Brand,1305,414,40690,378,17,10,3,6,414,4.83,2905,833,1,Mainland China,0,0,1,0,0,0,0,3
9934287813,352552860,Short Sleeves,Kawaii Manga Killing Stalking T Shirt Women Harajuku Grunge Kawaii Korean Style Cartoon Women T-shirt Anime Graphic Tees Female,495,252,252,49,No Brand,7,1,118,1,0,0,0,0,1,5.0,49898,1,1,Mainland China,0,0,0,0,0,0,0,10
4268483575,331814357,Short Sleeves,fashion city Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse,69,68,79,53,No Brand,298,248,7002,216,14,10,1,7,248,4.74,49617,1228,1,"San Nicolas, Metro Manila",0,0,1,0,0,0,0,50
8647149697,325618926,Short Sleeves,Cotton Chubby Square Collar Blouse Fairy Korean Style Lace-up Pleated Tops Puff Sleeve Ribbon Shirt,600,268,268,55,No Brand,2478,181,42313,167,9,0,4,1,181,4.86,8945,401,1,Mainland China,0,0,0,0,0,0,0,3
7956324829,36247807,Short Sleeves,Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse(BVQ),79,79,79,61,No Brand,10848,9473,20101,7888,680,479,164,262,9473,4.67,497438,43720,1,"San Nicolas, Metro Manila",0,0,1,0,0,0,0,50
6586522949,415979563,Short Sleeves,LACOTA Korean Style V-Neck Blouse,,63,63,0,No Brand,0,1,22,1,0,0,0,0,1,5.0,157,2,1,"Meycauayan City, Bulacan",0,0,0,0,0,0,0,2
2981578287,344798099,Short Sleeves,Letter Short-sleeved Round Neck T-shirt Women Loose 2021 Fashion New Summer Korean Short-sleeved Top,,788,788,0,No Brand,0,0,21,0,0,0,0,0,0,0.0,1993,0,1,Mainland China,0,0,0,0,0,0,0,4
9855585639,430999411,Short Sleeves,Summer 2021 women's floral chiffon shirt v-neck short sleeve drawstring top,480,288,288,40,No Brand,63,5,2656,3,0,1,0,0,4,4.5,790,9,1,Mainland China,0,0,0,0,0,0,0,2
8715035446,6928162,Short Sleeves,NEW || BASIC VNECK BLOUSE POCKET PLAIN (WHOLESALE AVAILABLE),149,54,54,64,No Brand,270,814,15102,782,20,9,2,1,814,4.94,912,5217,1,"Taytay, Rizal",0,0,1,0,0,1,0,16
3190271418,417317962,Short Sleeves,Summer Ladies Tops Floral Chiffon Tops Bowknot Short Sleeve Casual Loose Tops,254,229,229,10,No Brand,114,69,4310,63,2,0,1,3,69,4.75,1712,175,1,Mainland China,0,0,0,0,0,0,0,18
5292409354,141606030,Short Sleeves,Polo Collar V-Neck Linen Fresh Multicolor Knit Short Sleeve T-Shirt Tops,659,538,538,18,No Brand,125,4,1510,4,0,0,0,0,4,5.0,49930,12,1,Mainland China,0,0,0,0,0,0,0,5
11405784580,141606030,Short Sleeves,43661 Korean Lapel Temperament Loose Wild Casual Short Sleeve Shirt,504,408,408,19,No Brand,27,2,281,2,0,0,0,0,2,5.0,59957,8,1,Mainland China,0,0,0,1,0,0,0,6
4293195306,430999411,Short Sleeves,Summer Korean women's plain cotton T-shirt with square neck and short sleeves,470,282,282,40,No Brand,8,0,189,0,0,0,0,0,0,0.0,1997,1,1,Mainland China,0,0,0,0,0,0,0,4
