cmtid,itemid,shopid,author_username,comment,rating_star,no_tag,pos_good_quality,pos_excellent_quality,pos_very_accomodating,pos_well_packaged,pos_item_shipped_immediately,pos_will_order_again,neg_defective,neg_did_not_receive_item,neg_damaged_packaging,neg_will_not_order_again,neg_rude_seller,neg_item_shipped_late,neg_item_different_from_picture
5189869594,9404992288,38991063,p*****1,The item was well packed and in a good condition when it arrived. Fast delivery. This hanging blouse best fit extra small to small body frames only.,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5578105832,9404992288,38991063,niczcxzcxz,Ayos! supercalifragilisticexpialidocious! arigato gozaimasu!,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5558019454,9404992288,38991063,d*****6,Poor quality! Seller not responsive! Ang pangit ng damit and ang layo ng picture sa totoong etsura ng damit. Pati yong color. Will not order again!,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5535950816,9404992288,38991063,g*****a,Gandang ganda ako sa red  blouse with bow at the back na nareceived ko yesterday. Love it❤️❤️❤️  Excellent quality sya.💗   Ang bilis din ng shipping.  Napaka honest din ng seller.💜  So thank you so much shopee ilove you🧡🧡🧡,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5288234177,9404992288,38991063,missbluey_blue,"I thought it was Korean size so expect q maliit ang SIZING but it runs big,para sa anak q sana kaso maluwag,pero all in maganda yung top and very simple yet fashionable,tnx",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5344822090,9404992288,38991063,rvrq1rra2z,Thankyou so much sa uulitin po💕😁,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5177814679,9404992288,38991063,pasigian10,Maganda po  Ty,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4811374959,9404992288,38991063,vdl2yzam69,nice item...👈,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4398919584,9404992288,38991063,icgrace,Luv it..  Thank you.  ,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5686955930,9404992288,38991063,jellymoda,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5595491723,9404992288,38991063,artlizamieordinaria,,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5604249516,9404992288,38991063,yanimorales,,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0
5562151051,9404992288,38991063,lilianalcuisar,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5486385280,9404992288,38991063,wopu5v51m3,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4926756516,9404992288,38991063,pelare.judy43,,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4869142234,9404992288,38991063,jeannesorianoondivilla,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4759168553,9404992288,38991063,6drwj_c0dk,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5686874770,9960386794,325618926,arianler,,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5537246060,9960386794,325618926,emgee_59,All the blouses are cute and nice and I really like it.   Although it takes a long time to received the items but it was all worth it. All items has a nice quality and it fits me well. Thank you so much seller. Til our next transaction 😊,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5250453024,9960386794,325618926,n*****s,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5091448828,9960386794,325618926,m*****s,di ko inexpect na maganda yung quality..... super thank kase worth it yung binayad ko.. sa mga nagtitingin ng reviews ito na yung sign na bumili ka na kase di ka magsisisi... thank you seller pati kay kuya na nagdeliver,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5567635615,9960386794,325618926,annemrgreute,Maganda. Manipis ang tela pero you get what you pay for..,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5752703373,9960386794,325618926,e*****3,It was so beautiful but i got disappointed when I saw that it has a damage :(,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5697923135,9960386794,325618926,s*****4,,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0
5736112723,9960386794,325618926,r*****n,Love the Blouse ❤️,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5753521683,9960386794,325618926,atemuh143,Photo anot Related Pero As In Ang Ganda What You see is what you get Thank You Seller. I will Surely Order Again.,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5669375886,9960386794,325618926,z*****a,Super nice .. nice nice nice.. thank you seller ❤️😘😘.. order na kayo comfortable and lakas maka sosyal.. pag dating sinuot ko had at nirampa. Ayan na resulta..,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5747380018,9960386794,325618926,j*****n,Wat a beautiful blouse😍 thankU seller,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5641006426,9960386794,325618926,lorainet.canoos,"The delivery is just on time., The cloth ia nice, however the shoulder part is quite big for me, but all in all the quality is nice,...",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5739295388,9960386794,325618926,augustzaid,What you see is what you get. Matagal lang dumating pero maganda yung item 😊,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5629374197,9960386794,325618926,r*****s,ang ganda tamang tama saakin 😊😊😊😊,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5693598129,9960386794,325618926,j*****0,Maganda sya,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5621393711,9960386794,325618926,bailey21,Okay naman yong dress. Cute naman siya kaya lang yong blouse maliit siya sakin. Cute pa rin naman. Thank you,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5628702905,9960386794,325618926,geca29,"The dress is so beautiful and it fit me. Also, I am satisfied with my parcel💕",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
