shopid,name,join_month,join_day,join_year,item_count,follower_count,response_time,response_rate,shop_location,rating_bad,rating_good,rating_normal,rating_star,is_shopee_verified,is_official_shop
390661481,Eternal Love Women's Clothing ,February,20,2021,385,4785, 08:20:29,94,,75,2539,197,4.65,1,0
41311013,BuyMorePh,November,2,2017,376,1428736, 08:28:43,85,"Pasig City,Metro Manila",72090,1112951,109562,4.5,0,0
226484771,Blue Rae,February,10,2020,369,34963, 10:04:00,84,"Paranaque City,Metro Manila",506,25035,1384,4.74,0,0
69827898,weifashion.ph,May,17,2018,635,5493, 10:53:50,75,,74,3456,199,4.73,1,0
461989632,Heaven Of Lingerie,June,8,2021,39,127, 11:46:32,80,"Malate,Metro Manila",1,23,1,4.76,0,0
38991063,as fashion,October,16,2017,909,17963, 10:01:57,93,"Tondo I / Ii,Metro Manila",100,6815,206,4.83,0,0
420881087,J&W Fashion,April,11,2021,120,1168, 10:29:25,98,,11,217,18,4.57,1,0
453049862,ycshop568.ph,May,28,2021,69,358, 09:44:33,96,,1,17,3,4.45,0,0
494426915,feiyi.ph,July,22,2021,127,227, 11:01:05,98,,0,10,0,5.0,0,0
151149464,fudou.ph,May,27,2019,159,62, 12:15:54,78,,5,77,11,4.43,0,0
467989456,Triple A💕,June,16,2021,159,4824, 08:46:17,96,,6,266,19,4.74,1,0
419236946,Shawty Boutique,April,8,2021,222,4510, 09:10:37,83,,13,417,32,4.67,1,0
49777359,Annahong,December,26,2017,192,14268, 12:49:53,1,"Tondo I / Ii,Metro Manila",159,9427,398,4.8,0,0
46399675,ABUBOT_PH,December,5,2017,461,2258262, 09:41:51,64,"Pasig City,Metro Manila",108760,2433260,168529,4.61,0,0
273094218,xiaoyi.ph,June,11,2020,209,72778, 08:36:21,89,,169,20697,628,4.85,1,0
467411881,xinyuanmeifushi.ph,June,15,2021,162,8448, 08:29:53,100,,9,1219,25,4.9,1,0
36754442,Kathryn Clothing,September,30,2017,615,629593, 10:24:47,80,"Taytay,Rizal",5920,284865,13661,4.76,0,0
324938724,ahahah.ph,October,19,2020,154,34, 09:32:55,88,,0,28,3,4.68,0,0
378869210,Somimi Fashion Woman Clothes,January,26,2021,148,20, 09:52:00,81,,0,1,1,4.0,0,0
